ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
VRB,KVRB,Vero Beach Rgnl,VERO BEACH,FL,27.655555,-80.41795416666668,23.7,3,7314,1,F83408DF-2239-4254-9294-49C814E218A7
ATL,KATL,Hartsfield/Jackson Atlanta Intl,ATLANTA,GA,33.63669961111111,-84.427864,1026.2,5,12390,5,90091CE7-1372-4182-BA14-366919A3F134
AGS,KAGS,Augusta Rgnl At Bush Fld,AUGUSTA,GA,33.369954166666666,-81.96449833333334,145.7,2,8001,1,D98F23FA-C99D-403A-AC3F-F4927FA8AF5C
BQK,KBQK,Brunswick Golden Isles,BRUNSWICK,GA,31.259035277777777,-81.4663163888889,25.6,1,8001,1,58F7FC2B-9B1F-42BF-BAB0-936A7CF40967
RMG,KRMG,Richard B Russell Rgnl - J H Towers Fld,ROME,GA,34.3516375,-85.15857444444445,644.0,2,7010,1,4C1E0305-7E82-43E0-A6DD-901828F33C36
SAV,KSAV,Savannah/Hilton Head Intl,SAVANNAH,GA,32.127583333333334,-81.2021388888889,50.2,2,9351,2,D339C530-1D36-4587-8130-9E9938BF474D
VLD,KVLD,Valdosta Rgnl,VALDOSTA,GA,30.781464444444442,-83.27597166666666,203.1,2,8003,1,0C9198C7-C8C8-452A-A99C-2432F98DAA2F
ITO,PHTO,Hilo Intl,HILO,HI,19.72026222222222,-155.04847027777777,37.6,2,9803,1,879B8B96-06B7-4344-9EE6-27B3380444F2
HNL,PHNL,Daniel K Inouye Intl,HONOLULU,HI,21.317824722222223,-157.92025027777777,13.5,6,12360,3,5B4DC1E6-846B-4FA9-AC56-95D841B38CE6
KOA,PHKO,Ellison Onizuka Kona Intl At Keahole,KAILUA-KONA,HI,19.738765,-156.0456311111111,50.5,1,11000,1,EA5CCA39-6062-4943-B79B-49789A937548
JRF,PHJR,Kalaeloa (John Rodgers Fld),KAPOLEI,HI,21.307134166666668,-158.07044416666668,32.3,3,8365,2,05FD7AB4-B696-4729-93C3-45298B5AD0F2
HDH,PHDH,Kawaihapai Airfield,MOKULEIA,HI,21.579473611111112,-158.19728138888888,14.2,1,9007,1,9B56118F-FA15-4EF4-B3E5-84E70B40AD77
CID,KCID,The Eastern Iowa,CEDAR RAPIDS,IA,41.88469444444444,-91.71080555555555,869.3,2,8600,1,EAAE5D73-BBC8-464C-833B-63081F6F7FA5
DSM,KDSM,Des Moines Intl,DES MOINES,IA,41.53397277777778,-93.66307222222223,957.9,2,9004,2,A0F6486D-659E-41A3-A37F-AA2015313281
SUX,KSUX,Sioux Gateway/Brig General Bud Day Fld,SIOUX CITY,IA,42.40130555555555,-96.38441666666667,1098.5,2,9002,1,E617C2C2-170D-43DA-A568-7E8668835286
