year,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
2020,EAR,479246.0,355.0,642736.0,446.0,1121982.0,801.0
2020,EAT,585824.0,600.0,568399.0,500.0,1154223.0,1100.0
2020,EDF,1111792.0,43.0,427714.0,63.0,1539506.0,106.0
2020,EEK,35700.0,724.0,491492.0,728.0,527192.0,1452.0
2020,EFD,15800.0,2.0,17600.0,2.0,33400.0,4.0
2020,EGA,0.0,1.0,1213.0,1.0,1213.0,2.0
2020,EGX,132180.0,55.0,36488.0,59.0,168668.0,114.0
2020,EHM,30830.0,6.0,57624.0,8.0,88454.0,14.0
2020,EIL,136515.0,2.0,5910.0,1.0,142425.0,3.0
2020,EKA,0.0,0.0,1190.0,1.0,1190.0,1.0
2020,EKX,700.0,1.0,700.0,1.0,1400.0,2.0
2020,ELI,78355.0,160.0,353021.0,161.0,431376.0,321.0
2020,ELM,398089.0,304.0,315579.0,255.0,713668.0,559.0
2020,ELP,97152983.0,2300.0,110817930.0,2208.0,207970913.0,4508.0
2020,EMK,908158.0,721.0,5808453.0,728.0,6716611.0,1449.0
2020,ENA,692931.0,864.0,2118462.0,1410.0,2811393.0,2274.0
2020,ERI,0.0,0.0,260737.0,260.0,260737.0,260.0
2020,ESC,310528.0,251.0,282001.0,260.0,592529.0,511.0
2020,ESD,245051.0,804.0,348891.0,814.0,593942.0,1618.0
2020,EUG,1097287.0,998.0,117611.0,476.0,1214898.0,1474.0
2020,EVV,71421.0,16.0,160585.0,221.0,232006.0,237.0
2020,EWN,1326027.0,257.0,1200043.0,257.0,2526070.0,514.0
2020,EWR,528387054.0,10158.0,491507366.0,8191.0,1019894420.0,18349.0
2020,EYW,265921.0,260.0,575259.0,438.0,841180.0,698.0
2020,FAI,12248154.0,2634.0,7248258.0,2616.0,19496412.0,5250.0
2020,FAR,36414067.0,2994.0,65486398.0,2656.0,101900465.0,5650.0
2020,FAT,15337734.0,664.0,20255647.0,679.0,35593381.0,1343.0
2020,FBK,29325.0,12.0,2386.0,12.0,31711.0,24.0
2020,FCA,775842.0,255.0,861320.0,260.0,1637162.0,515.0
2020,FDY,4920.0,2.0,9874.0,2.0,14794.0,4.0
2020,FLG,685120.0,514.0,1103919.0,728.0,1789039.0,1242.0
2020,FLL,72206416.0,2159.0,80427811.0,1911.0,152634227.0,4070.0
2020,FLO,1299.0,1.0,0.0,1.0,1299.0,2.0
2020,FLT,0.0,3.0,62774.0,3.0,62774.0,6.0
2020,FMN,823080.0,1033.0,1628670.0,975.0,2451750.0,2008.0
2020,FNT,12373101.0,786.0,15364558.0,627.0,27737659.0,1413.0
2020,FOK,4800.0,2.0,7200.0,3.0,12000.0,5.0
2020,FRD,30329.0,485.0,289253.0,484.0,319582.0,969.0
2020,FRG,138829.0,7.0,30746.0,6.0,169575.0,13.0
2020,FSD,38652638.0,1936.0,58365096.0,2090.0,97017734.0,4026.0
2020,FSM,50198.0,4.0,0.0,4.0,50198.0,8.0
2020,FST,0.0,1.0,0.0,0.0,0.0,1.0
2020,FTW,0.0,2.0,1485.0,2.0,1485.0,4.0
